Date,Open,High,Low,Close,Adj Close,Volume
43104,23073.73047,23506.33008,23065.19922,23506.33008,23506.33008,102200
43105,23643,23730.4707,23520.51953,23714.5293,23714.5293,101900
43109,23948.9707,23952.60938,23789.0293,23849.99023,23849.99023,94100
43110,23832.81055,23864.75977,23755.44922,23788.19922,23788.19922,88800
43111,23656.39063,23734.9707,23601.83984,23710.42969,23710.42969,83700
43112,23719.66016,23743.05078,23588.07031,23653.82031,23653.82031,93700
43115,23827.98047,23833.26953,23685.01953,23714.88086,23714.88086,75400
43116,23721.16992,23962.07031,23701.83008,23951.81055,23951.81055,68500
43117,23783.41992,23891.63086,23739.16992,23868.33984,23868.33984,82200
43118,24078.92969,24084.41992,23699.4707,23763.36914,23763.36914,99400
43119,23854.10938,23872.68945,23735.60938,23808.06055,23808.06055,71800
43122,23797.83984,23816.33008,23697.81055,23816.33008,23816.33008,65200
43123,23924.40039,24129.33984,23916.01953,24124.15039,24124.15039,73400
43124,24026.42969,24072.76953,23917.14063,23940.7793,23940.7793,79900
43125,23750.65039,23828.40039,23649.0293,23669.49023,23669.49023,81500
43126,23757.33984,23797.96094,23592.2793,23631.88086,23631.88086,87200
43129,23707.14063,23787.23047,23580.16992,23629.33984,23629.33984,68800
43130,23559.33008,23581.98047,23233.36914,23291.9707,23291.9707,88800
43131,23205.23047,23375.38086,23092.84961,23098.28906,23098.28906,99800
43132,23276.09961,23492.76953,23211.11914,23486.10938,23486.10938,101800
43133,23361.66992,23367.96094,23122.44922,23274.5293,23274.5293,98600
43136,22921.16016,22967.68945,22659.42969,22682.08008,22682.08008,107600
43137,22267,22277.44922,21078.71094,21610.24023,21610.24023,190100
43138,22001.28906,22353.86914,21627.13086,21645.36914,21645.36914,143500
43139,21721.57031,21977.0293,21649.69922,21890.85938,21890.85938,104700
43140,21507.74023,21510.30078,21119.00977,21382.61914,21382.61914,127600
43144,21633.33984,21679.19922,21211.5293,21244.67969,21244.67969,114700
43145,21251.24023,21371.00977,20950.15039,21154.16992,21154.16992,103900
43146,21384.09961,21578.99023,21308.91992,21464.98047,21464.98047,86400
43147,21555.99023,21866.36914,21499.88086,21720.25,21720.25,77800
43150,21903.66016,22152.84961,21858.33008,22149.21094,22149.21094,68500
43151,22054.32031,22063.86914,21831.44922,21925.09961,21925.09961,67500
43152,21942.41992,22130.58008,21836.73047,21970.81055,21970.81055,77900
43153,21789.88086,21799.40039,21626.84961,21736.43945,21736.43945,77300
43154,21789.7207,21903.39063,21741.63086,21892.7793,21892.7793,64600
43157,22134.64063,22226.5293,22040.86914,22153.63086,22153.63086,64600
43158,22391.66992,22502.05078,22325.07031,22389.85938,22389.85938,74300
43159,22292.5293,22380.2793,22068.24023,22068.24023,22068.24023,88800
43160,21901.13086,21901.13086,21645.2207,21724.4707,21724.4707,90300
43161,21339.98047,21366.08984,21088.96094,21181.64063,21181.64063,97100
43164,21047.81055,21164.38086,20937.25977,21042.08984,21042.08984,87200
43165,21390.19922,21551.14063,21381.41992,21417.75977,21417.75977,76400
43166,21261.96094,21484.08008,21201.93945,21252.7207,21252.7207,87000
43167,21488.16016,21488.16016,21299.40039,21368.07031,21368.07031,72100
43168,21594.2207,21884.44922,21357.55078,21469.19922,21469.19922,110500
43171,21826.09961,21971.16016,21689.9707,21824.0293,21824.0293,70600
43172,21742.44922,21968.09961,21700.7793,21968.09961,21968.09961,68100
43173,21764.99023,21881.08984,21684.01953,21777.28906,21777.28906,65000
43174,21704.14063,21825.9707,21555.49023,21803.94922,21803.94922,65300
43175,21876.5293,21879.2793,21632.84961,21676.50977,21676.50977,75700
43178,21537.90039,21659.03906,21366.88086,21480.90039,21480.90039,67300
43179,21297.98047,21384.85938,21223.9707,21380.9707,21380.9707,66500
43181,21352.16016,21592,21349.71094,21591.99023,21591.99023,82600
43182,21188.80078,21188.80078,20559.60938,20617.85938,20617.85938,121000
43185,20423.36914,20766.09961,20347.49023,20766.09961,20766.09961,97500
43186,20958.90039,21317.32031,20943.31055,21317.32031,21317.32031,101900
43187,20893.05078,21031.31055,20776.82031,21031.31055,21031.31055,88100
43188,21250.96094,21298.57031,20996.2207,21159.08008,21159.08008,78900
43189,21392.41992,21512.80078,21311.5,21454.30078,21454.30078,63600
43192,21441.57031,21597.4707,21388.58008,21388.58008,21388.58008,47500
43193,21115.48047,21333.5,21056.01953,21292.28906,21292.28906,63800
43194,21415.84961,21415.84961,21238.17969,21319.55078,21319.55078,75600
43195,21541.17969,21737.66016,21462.09961,21645.41992,21645.41992,80700
43196,21633.73047,21742.83984,21550.41992,21567.51953,21567.51953,74400
43199,21534.33008,21737.08984,21517.76953,21678.25977,21678.25977,62100
43200,21599.66992,21933.99023,21542.36914,21794.32031,21794.32031,74700
