Date,Open,High,Low,Close,Adj Close,Volume
38355,1266.5,1266.5,1266.5,1266.5,1266.5,0
38356,1260.781982,1260.781982,1238.178955,1242.774048,1242.774048,8200
38357,1241.682007,1258.579956,1235.745972,1251.937012,1251.937012,8600
38358,1252.493042,1252.734985,1234.235962,1239.430054,1239.430054,8000
38359,1239.322998,1256.312988,1235.508057,1244.745972,1244.745972,9000
38362,1243.57605,1252.723022,1236.088989,1252.401001,1252.401001,7200
38363,1252.71106,1260.870972,1247.834961,1257.462036,1257.462036,7800
38364,1257.170044,1257.192993,1246.421997,1256.922974,1256.922974,6800
38365,1255.718018,1259.499023,1251.015991,1256.313965,1256.313965,8800
38366,1255.870972,1268.855957,1243.873047,1245.619995,1245.619995,9800
38369,1235.573975,1236.396973,1214.064941,1216.651978,1216.651978,10000
38370,1215.776001,1226.042969,1207.052002,1225.453979,1225.453979,10200
38371,1225.074951,1225.074951,1214.63501,1218.108032,1218.108032,9400
38372,1213.368042,1213.959961,1199.166992,1204.394043,1204.394043,10400
38373,1201.932983,1237.909058,1189.21106,1234.475952,1234.475952,17000
38376,1258.024048,1265.948975,1239.800049,1255.776978,1255.776978,18000
38377,1252.354004,1254.865967,1239.16394,1254.234009,1254.234009,11800
38378,1252.371948,1254.232056,1240.130981,1241.958008,1241.958008,9600
38379,1239.578979,1241.136963,1223.876953,1225.890991,1225.890991,9400
38380,1223.727051,1226.303955,1208.857056,1213.672974,1213.672974,8200
38383,1210.755005,1210.755005,1190.172974,1191.822998,1191.822998,9000
38384,1189.500977,1203.06604,1187.26001,1188.93103,1188.93103,9400
38385,1189.501953,1253.159058,1189.501953,1252.5,1252.5,19000
38386,1253.812988,1269.155029,1236.178955,1242.307007,1242.307007,20400
38387,1238.609009,1274.11499,1235.640015,1269.004028,1269.004028,17000
38390,1269,1269,1269,1269,1269,0
38391,1269,1269,1269,1269,1269,0
38392,1269,1269,1269,1269,1269,0
38393,1269,1269,1269,1269,1269,0
38394,1269,1269,1269,1269,1269,0
38397,1269,1269,1269,1269,1269,0
38398,1269,1269,1269,1269,1269,0
38399,1276.015015,1291.464966,1270.317993,1278.880005,1278.880005,14400
38400,1280.027954,1280.027954,1263.71106,1276.134033,1276.134033,11200
38401,1275.66394,1278.624023,1258.561035,1258.968994,1258.968994,10600
38404,1259.527954,1284.937012,1259.509033,1284.47998,1284.47998,12600
38405,1285.629028,1312.532959,1282.782959,1309.276978,1309.276978,22600
38406,1309.624023,1316.588013,1299.145996,1309.474976,1309.474976,24200
38407,1307.036011,1310.967041,1296.979004,1309.948975,1309.948975,20200
38408,1311.366943,1328.532959,1311.204956,1312.444946,1312.444946,24000
38411,1311.438965,1315.136963,1298.927979,1306.003052,1306.003052,17600
38412,1305.249023,1308.758057,1295.641968,1303.411987,1303.411987,14000
38413,1303.310059,1316.723022,1285.916016,1287.449951,1287.449951,18600
38414,1285.197021,1295.253052,1276.880005,1294.338989,1294.338989,12800
38415,1294.156006,1299.595947,1286.480957,1287.713989,1287.713989,11000
38418,1288.407959,1296.880005,1287.73999,1293.739014,1293.739014,10800
38419,1298.25,1318.89502,1296.907959,1318.270996,1318.270996,18000
38420,1321.208008,1326.07605,1310.234985,1316.791016,1316.791016,20600
38421,1316.900024,1316.900024,1282.527954,1286.233032,1286.233032,17800
38422,1284.512939,1292.529053,1278.152954,1289.94104,1289.94104,15000
38425,1288.984985,1304.112061,1271.510986,1293.5,1293.5,18600
38426,1293.131958,1293.259033,1266.636963,1269.144043,1269.144043,15600
38427,1267.052002,1268.187012,1247.892944,1255.588989,1255.588989,13600
38428,1255.984985,1257.793945,1242.512939,1243.474976,1243.474976,12800
38429,1242.453003,1248.034058,1223.61499,1227.402954,1227.402954,12400
38432,1226.142944,1232.817017,1220.823975,1231.046021,1231.046021,10000
38433,1230.682007,1231.676025,1202.427002,1206.921997,1206.921997,14600
38434,1205.755005,1218.010986,1194.322021,1201.649048,1201.649048,13400
38435,1200.256958,1208.608032,1187.581055,1208.192017,1208.192017,11400
38436,1207.203003,1211.160034,1199.869995,1205.634033,1205.634033,9600
38439,1204.849976,1204.849976,1185.456055,1200.113037,1200.113037,9000
38440,1199.69104,1209.229004,1194.588989,1195.017944,1195.017944,9200
38441,1192.447021,1192.447021,1171.811035,1172.573975,1172.573975,11400
38442,1168.828003,1181.531006,1162.031006,1181.235962,1181.235962,10400
38443,1180.373047,1237.800049,1173.542969,1223.56604,1223.56604,19600
38446,1212.118042,1218.275024,1196.944946,1202.967041,1202.967041,13800
38447,1200.69104,1209.340942,1189.255005,1191.744995,1191.744995,11600
38448,1191.197998,1220.415039,1183.906006,1214.868042,1214.868042,16800
38449,1216.728027,1248.062012,1213.650024,1225.487061,1225.487061,24200
38450,1225.04895,1249.203003,1218.759033,1248.520996,1248.520996,17800
38453,1248.150024,1252.812988,1235.355957,1240.972046,1240.972046,19400
38454,1239.134033,1239.134033,1218.511963,1219.510986,1219.510986,13000
38455,1228.973999,1254.31897,1228.973999,1248.203003,1248.203003,19600
38456,1252.206055,1253.598022,1233.237061,1234.332031,1234.332031,15600
38457,1229.680054,1229.680054,1213.203003,1216.962036,1216.962036,14200
38460,1212.391968,1212.391968,1190.984009,1197.734985,1197.734985,11600
38461,1196.281006,1202.491943,1191.230957,1199.901978,1199.901978,11000
38462,1198.956055,1198.956055,1178.640015,1184.192993,1184.192993,11200
38463,1182.204956,1190.541016,1167.994019,1172.55603,1172.55603,13200
38464,1171.027954,1177.88501,1163.401978,1169.187012,1169.187012,13600
38467,1166.342041,1166.342041,1146.41394,1157.970947,1157.970947,13600
38468,1155.644043,1169.14502,1151.636963,1165.334961,1165.334961,14000
38469,1165.098999,1166.197998,1148.137939,1148.756958,1148.756958,13600
38470,1145.745972,1172.709961,1135.733032,1169.118042,1169.118042,17400
38471,1168.331055,1170.198975,1155.984985,1159.145996,1159.145996,14200
38474,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
38475,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
38476,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
38477,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
38478,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
38481,1160.619995,1165.390015,1130.411011,1130.834961,1130.834961,10800
38482,1126.817993,1135.797974,1108.420044,1135.561035,1135.561035,13200
38483,1134.594971,1140.171021,1121.866943,1124.270996,1124.270996,11000
38484,1122.177979,1122.916016,1099.839966,1103.993042,1103.993042,12400
38485,1101.605957,1120.168945,1093.281006,1107.626953,1107.626953,13400
38488,1105.396973,1105.396973,1082.136963,1095.468018,1095.468018,10200
38489,1091.258057,1108.177979,1083.942993,1099.640015,1099.640015,11600
38490,1099.73999,1108.843994,1090.29895,1102.964966,1102.964966,10400
38491,1101.753052,1107.227051,1083.11499,1103.474976,1103.474976,10600
38492,1100.490967,1108.609985,1094.668945,1099.269043,1099.269043,9600
38495,1095.307983,1095.307983,1069.435059,1070.843994,1070.843994,9600
38496,1065.998047,1078.098022,1057.536011,1073.847046,1073.847046,11000
38497,1072.520996,1082.178955,1064.875,1072.136963,1072.136963,9800
38498,1071.212036,1077.44104,1055.81604,1058.866943,1058.866943,9400
38499,1056.322998,1068.21106,1050.055054,1051.946045,1051.946045,10200
38502,1049.720947,1063.947021,1043.276001,1060.161987,1060.161987,8600
38503,1061.612061,1070.501953,1057.748047,1060.738037,1060.738037,9200
38504,1059.609985,1063.517944,1035.706055,1039.187012,1039.187012,10000
38505,1036.72998,1036.72998,1008.754028,1016.062988,1016.062988,11400
38506,1013.903015,1019.921997,1000.521973,1013.637024,1013.637024,10000
38509,1010.380981,1034.853027,998.228027,1034.378052,1034.378052,11000
38510,1036.616943,1055.629028,1029.53894,1030.94104,1030.94104,15800
38511,1044.178955,1118.69397,1040.157959,1115.582031,1115.582031,40200
