Date,Open,High,Low,Close,Adj Close,Volume
37256,10136.36035,10137.61035,10019.15039,10021.57031,10021.57031,146900000
37258,10021.70996,10074.01953,9935.700195,10073.40039,10073.40039,203990000
37259,10073.87988,10174.00977,10051.9502,10172.13965,10172.13965,275020000
37260,10176.83984,10283.66992,10174.83984,10259.74023,10259.74023,239480000
37263,10261.33008,10300.15039,10188.12012,10197.04981,10197.04981,225880000
37264,10195.75977,10211.23047,10121.34961,10150.54981,10150.54981,193640000
37265,10153.17969,10270.87988,10069.4502,10094.08984,10094.08984,247850000
37266,10092.5,10101.76953,10032.23047,10067.86035,10067.86035,199300000
37267,10069.51953,10098.37988,9985.25,9987.530273,9987.530273,197880000
37270,9985.379883,9985.379883,9889.269531,9891.419922,9891.419922,229950000
37271,9892.730469,9986.209961,9865.610352,9924.150391,9924.150391,239830000
37272,9916.540039,9916.540039,9711.099609,9712.269531,9712.269531,261920000
37273,9712.209961,9857.790039,9712.209961,9850.040039,9850.040039,243530000
37274,9830.94043,9830.94043,9738.429688,9771.849609,9771.849609,253830000
37278,9772.339844,9842.839844,9696.570313,9713.799805,9713.799805,222040000
37279,9710.959961,9773.370117,9680.509766,9730.959961,9730.959961,246200000
37280,9734.209961,9856.969727,9734.209961,9796.070313,9796.070313,251040000
37281,9793.230469,9897.849609,9755.110352,9840.080078,9840.080078,195230000
37284,9843.049805,9894.530273,9798.55957,9865.75,9865.75,169030000
37285,9865.540039,9908.160156,9616.650391,9618.240234,9618.240234,265460000
37286,9619.139648,9775.589844,9529.459961,9762.860352,9762.860352,322690000
37287,9763.200195,9922.490234,9763.200195,9920,9920,271970000
37288,9923.040039,9943.94043,9860.69043,9907.259766,9907.259766,228390000
37291,9905.459961,9905.459961,9677.540039,9687.089844,9687.089844,249680000
37292,9684.740234,9773.719727,9603.990234,9685.429688,9685.429688,273760000
37293,9682.040039,9733.099609,9608.209961,9653.389648,9653.389648,263670000
37294,9650.969727,9743.049805,9624.120117,9625.44043,9625.44043,228910000
37295,9627.650391,9745.55957,9580.320313,9744.240234,9744.240234,244750000
37298,9739.80957,9892.799805,9710.679688,9884.780273,9884.780273,189050000
37299,9880.349609,9906.019531,9811.639648,9863.740234,9863.740234,178160000
37300,9856.990234,9998.25,9856.990234,9989.669922,9989.669922,208240000
37301,9989.669922,10052.29004,9959.230469,10001.99023,10001.99023,224190000
37302,10000.83008,10007.45996,9893.769531,9903.040039,9903.040039,246600000
37306,9899.240234,9899.379883,9734.900391,9745.139648,9745.139648,226130000
37307,9742.370117,9956.049805,9734.209961,9941.169922,9941.169922,284530000
37308,9933.55957,10029.94043,9831.980469,9834.679688,9834.679688,277780000
37309,9834.889648,10002.54004,9796.139648,9968.150391,9968.150391,278200000
37312,9969.75,10172.62012,9966.360352,10145.70996,10145.70996,256580000
37313,10145.86035,10186.87988,10033.75,10115.25977,10115.25977,259700000
37314,10117.65039,10255.24023,10058.66016,10127.58008,10127.58008,263980000
37315,10130.28027,10238.7002,10104.87988,10106.12988,10106.12988,269590000
37316,10111.04004,10374.87988,10111.04004,10368.86035,10368.86035,261080000
37319,10368.09961,10600.09961,10366.78027,10586.82031,10586.82031,298820000
37320,10591.37988,10596.08984,10425.04981,10433.41016,10433.41016,288840000
37321,10431.95996,10601.50977,10425.79981,10574.29004,10574.29004,246850000
37322,10578.09961,10606.87988,10468.63965,10525.37012,10525.37012,258070000
37323,10531.66992,10663.83008,10531.66992,10572.49023,10572.49023,271140000
37326,10570.07031,10647.08984,10526,10611.24023,10611.24023,214210000
37327,10604.32031,10639.67969,10510.91016,10632.34961,10632.34961,218940000
37328,10620.16992,10620.16992,10474.16992,10501.84961,10501.84961,226430000
37329,10501.29004,10551.11035,10474.71973,10517.13965,10517.13965,185250000
37330,10516.4502,10607.23047,10511.46973,10607.23047,10607.23047,330430000
37333,10608.54004,10661.05957,10525.03027,10577.75,10577.75,182800000
